"Name","Location","Count","PossibleMatches"
"Artisan Market","Newcastle","1","None"
"Ash in Mow Cop","","1","None"
"Bakers Arms","Cheadle","4","None"
"Bankers Draught","Leek","2","None"
"Beehive penkhull","","1","None"
"Black Lion Trent Vale","","6","None"
"Brown Jug","Newcastle","1","None"
"Churchyardside","Nantwich,  Cheshire. CW55DE","1","None"
"Clubland Anthems Live","","1","None"
"Crown","Market Drayton","2","Ye Olde Crown, The Crown Inn, Crown Wharf, Rose & Crown, The Crown Inn Emsworth, The Ye Olde Rose & Crown, Crown Hotel, Bar & Grill, The Crown"
"Crown And Thistle Kidsgrove","","1","None"
"Dog And Rot Club","Leek","1","None"
"Goldenhill Club","Goldenhill","1","None"
"Granvilles","Stone","1","None"
"Granville's Stone","","1","None"
"Grumpys GB Motercyles","","1","None"
"Hog Noggins","Burslem","1","None"
"John Marstons","Longton Hall Rd,  Stoke.","1","None"
"King's Hall","Stoke","1","None"
"Newcastle WMC","","1","None"
"Newcastle Workingmens Club","Newcastle","1","None"
"Oakhill bowling club","","1","None"
"Oggy's Bar. Hanley","","1","None"
"Old sal saxonfields longton","","1","None"
"Pickled Pig","Stafford","1","None"
"Pool Dole In Fenton","","2","None"
"Rose and Crown","Biddulph Moor","2","None"
"Rose and Crown Stanley","","1","None"
"Stoke Minster","","1","None"
"Stone SP Cricket Club","","2","None"
"Sugarmill","","1","None"
"Swan & Chequers","Sandbach","1","None"
"The Butcher's Arms","Forsbrook","1","None"
"The Crossbar@Audley FC","Audley","1","None"
"The Farmers Arms","Nantwich","1","None"
"The Furlong Tavern","","1","None"
"The Kingsway Stokeb","","1","None"
"The Old Queen's Head @ Talke","","1","None"
"The Peel","Ashley","1","None"
"The Polite Vicar","Basford","1","None"
"The Shamrock","Macclesfield","1","None"
"The Tavern Denstone","","1","None"
"The Top Pub Brown Edge","","1","None"
"Waggon and Horses","Newcastle","2","None"
"Waggon and Horses N u L","","1","None"
"Ye Olde ","Talke","1","Ye Olde Crown, Ye Olde Manor Inne Pub, Ye Olde Foundry, The Ye Olde Rose & Crown"
